type	time_s	freq_khz	amp_dbfs	pulse_ix	info_key	info_value
1	0.0	29.7	-22.0	0		
1	0.0001	43.5	-23.0	0		
1	0.0002	43.5	-23.0	0		
1	0.0003	43.6	-27.0	0		
1	0.0004	44.1	-35.0	0		
1	0.0005	21.2	-49.0	0		
1	0.0006	0.0	-100.0	0		
1	0.0007	0.0	-100.0	0		
1	0.0008	0.0	-100.0	0		
1	0.0009	0.0	-100.0	0		
1	0.001	0.0	-100.0	0		
1	0.0011	0.0	-100.0	0		
1	0.0012	0.0	-100.0	0		
1	0.0013	0.0	-100.0	0		
1	0.0014	0.0	-100.0	0		
1	0.0015	0.0	-100.0	0		
1	0.0016	0.0	-100.0	0		
1	0.0017	0.0	-100.0	0		
1	0.0018	0.0	-100.0	0		
1	0.0019	0.0	-100.0	0		
1	0.002	0.0	-100.0	0		
1	0.0021	0.0	-100.0	0		
1	0.0022	0.0	-100.0	0		
1	0.0023	0.0	-100.0	0		
1	0.0024	0.0	-100.0	0		
1	0.0433	44.5	-50.0	1		
1	0.0434	43.6	-48.0	1		
1	0.0435	42.7	-48.0	1		
1	0.0436	41.6	-49.0	1		
1	0.0437	0.0	-100.0	1		
1	0.0438	0.0	-100.0	1		
1	0.0439	0.0	-100.0	1		
1	0.044	0.0	-100.0	1		
1	0.0441	0.0	-100.0	1		
1	0.0442	0.0	-100.0	1		
1	0.0443	0.0	-100.0	1		
1	0.0444	0.0	-100.0	1		
1	0.0445	0.0	-100.0	1		
1	0.0446	0.0	-100.0	1		
1	0.0447	0.0	-100.0	1		
1	0.0448	0.0	-100.0	1		
1	0.0449	0.0	-100.0	1		
1	0.045	0.0	-100.0	1		
1	0.0451	0.0	-100.0	1		
1	0.0452	0.0	-100.0	1		
1	0.0453	0.0	-100.0	1		
1	0.0454	0.0	-100.0	1		
1	0.0455	0.0	-100.0	1		
1	0.0833	21.6	-49.0	2		
1	0.0834	21.8	-49.0	2		
1	0.0835	0.0	-100.0	2		
1	0.0836	0.0	-100.0	2		
1	0.0837	0.0	-100.0	2		
1	0.0838	0.0	-100.0	2		
1	0.0839	0.0	-100.0	2		
1	0.084	0.0	-100.0	2		
1	0.0841	0.0	-100.0	2		
1	0.0842	0.0	-100.0	2		
1	0.0843	0.0	-100.0	2		
1	0.0844	0.0	-100.0	2		
1	0.0845	0.0	-100.0	2		
