type	time_s	freq_khz	amp_dbfs	pulse_ix	info_key	info_value
1	0.0471	75.7	-28.0	0		
1	0.0472	74.3	-27.0	0		
1	0.0473	72.6	-26.0	0		
1	0.0474	71.1	-25.0	0		
1	0.0475	69.5	-24.0	0		
1	0.0476	68.0	-23.0	0		
1	0.0477	66.6	-22.0	0		
1	0.0478	65.1	-21.0	0		
1	0.0479	63.6	-21.0	0		
1	0.048	62.2	-20.0	0		
1	0.0481	60.8	-19.0	0		
1	0.0482	59.4	-19.0	0		
1	0.0483	58.1	-18.0	0		
1	0.0484	56.7	-18.0	0		
1	0.0485	55.4	-17.0	0		
1	0.0486	54.1	-17.0	0		
1	0.0487	52.9	-16.0	0		
1	0.0488	51.6	-16.0	0		
1	0.0489	50.4	-16.0	0		
1	0.049	49.2	-15.0	0		
1	0.0491	48.0	-15.0	0		
1	0.0492	46.9	-15.0	0		
1	0.0493	45.8	-15.0	0		
1	0.0494	44.7	-14.0	0		
1	0.0495	43.6	-14.0	0		
1	0.0496	42.5	-14.0	0		
1	0.0497	41.5	-14.0	0		
1	0.0498	40.5	-14.0	0		
1	0.0499	39.5	-14.0	0		
1	0.05	38.6	-14.0	0		
1	0.0501	37.6	-14.0	0		
1	0.0502	36.7	-14.0	0		
1	0.0503	35.9	-14.0	0		
1	0.0504	35.0	-14.0	0		
1	0.0505	34.2	-14.0	0		
1	0.0506	33.3	-14.0	0		
1	0.0507	32.6	-14.0	0		
1	0.0508	31.8	-14.0	0		
1	0.0509	31.1	-14.0	0		
1	0.051	30.3	-14.0	0		
1	0.0511	29.6	-15.0	0		
1	0.0512	29.0	-15.0	0		
1	0.0513	28.3	-15.0	0		
1	0.0514	27.7	-16.0	0		
1	0.0515	27.1	-16.0	0		
1	0.0516	26.6	-16.0	0		
1	0.0517	26.0	-17.0	0		
1	0.0518	25.5	-17.0	0		
1	0.0519	25.0	-18.0	0		
1	0.052	24.5	-19.0	0		
1	0.0521	24.1	-19.0	0		
1	0.0522	23.7	-20.0	0		
1	0.0523	23.3	-21.0	0		
1	0.0524	22.9	-22.0	0		
1	0.0525	22.6	-23.0	0		
1	0.0526	22.2	-24.0	0		
1	0.0527	21.9	-26.0	0		
1	0.0528	21.7	-27.0	0		
1	0.0529	0.0	-100.0	0		
1	0.053	0.0	-100.0	0		
1	0.0531	0.0	-100.0	0		
1	0.0532	0.0	-100.0	0		
1	0.0533	0.0	-100.0	0		
1	0.0534	0.0	-100.0	0		
1	0.0535	0.0	-100.0	0		
1	0.0536	0.0	-100.0	0		
1	0.0537	0.0	-100.0	0		
1	0.0538	0.0	-100.0	0		
1	0.0539	0.0	-100.0	0		
1	0.054	0.0	-100.0	0		
1	0.0541	0.0	-100.0	0		
1	0.0542	0.0	-100.0	0		
1	0.0543	0.0	-100.0	0		
1	0.0544	0.0	-100.0	0		
1	0.0545	0.0	-100.0	0		
1	0.0546	0.0	-100.0	0		
1	0.0547	0.0	-100.0	0		
1	0.1482	75.1	-28.0	1		
1	0.1483	73.4	-27.0	1		
1	0.1484	71.9	-25.0	1		
1	0.1485	70.4	-24.0	1		
1	0.1486	68.8	-23.0	1		
1	0.1487	67.4	-23.0	1		
1	0.1488	65.9	-22.0	1		
1	0.1489	64.4	-21.0	1		
1	0.149	63.0	-20.0	1		
1	0.1491	61.6	-20.0	1		
1	0.1492	60.2	-19.0	1		
1	0.1493	58.8	-19.0	1		
1	0.1494	57.4	-18.0	1		
1	0.1495	56.1	-18.0	1		
1	0.1496	54.8	-17.0	1		
1	0.1497	53.5	-17.0	1		
1	0.1498	52.3	-16.0	1		
1	0.1499	51.0	-16.0	1		
1	0.15	49.8	-16.0	1		
1	0.1501	48.7	-15.0	1		
1	0.1502	47.5	-15.0	1		
1	0.1503	46.4	-15.0	1		
1	0.1504	45.2	-15.0	1		
1	0.1505	44.2	-14.0	1		
1	0.1506	43.1	-14.0	1		
1	0.1507	42.1	-14.0	1		
1	0.1508	41.0	-14.0	1		
1	0.1509	40.0	-14.0	1		
1	0.151	39.1	-14.0	1		
1	0.1511	38.1	-14.0	1		
1	0.1512	37.2	-14.0	1		
1	0.1513	36.3	-14.0	1		
1	0.1514	35.4	-14.0	1		
1	0.1515	34.6	-14.0	1		
1	0.1516	33.8	-14.0	1		
1	0.1517	33.0	-14.0	1		
1	0.1518	32.2	-14.0	1		
1	0.1519	31.4	-14.0	1		
1	0.152	30.7	-14.0	1		
1	0.1521	30.0	-15.0	1		
1	0.1522	29.3	-15.0	1		
1	0.1523	28.7	-15.0	1		
1	0.1524	28.0	-15.0	1		
1	0.1525	27.4	-16.0	1		
1	0.1526	26.9	-16.0	1		
1	0.1527	26.3	-17.0	1		
1	0.1528	25.8	-17.0	1		
1	0.1529	25.3	-18.0	1		
1	0.153	24.8	-18.0	1		
1	0.1531	24.3	-19.0	1		
1	0.1532	23.9	-20.0	1		
1	0.1533	23.5	-20.0	1		
1	0.1534	23.1	-21.0	1		
1	0.1535	22.7	-22.0	1		
1	0.1536	22.4	-24.0	1		
1	0.1537	22.1	-25.0	1		
1	0.1538	21.8	-26.0	1		
1	0.1539	21.6	-28.0	1		
1	0.154	0.0	-100.0	1		
1	0.1541	0.0	-100.0	1		
